Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Hewett, George",SY,6,29,11,54,83,1, , ,19,7,11,17,6,2,3, ,50,34,3,1,4, ,2
"Mayes, Sam",PA,6,50,20,32,82,1,2, ,17,13,15,4,9,5,3, ,22,54,2, ,10, ,1
"Zerk-Thatcher, Brandon",ES,10,46,30,36,82, ,2, ,8,11,1, ,10,5,5, ,25,55,2,1,37,1, 
"Hately, Jackson",GW,6,47,28,35,82, , , ,14,9,11,2,12,2,2, ,18,64,1, ,4, ,2
"Clarke, Dylan",ES,8,31,17,50,81,4, , ,19,6,8,8,9,7,5, ,40,46,1,2,11, , 
"Fogarty, Lachie",GE,6,52,17,29,81,1,1, ,19,2,16,9,10,10,3, ,32,51, ,1,1, ,4
"Frederick, Michael",FR,10,41,18,39,80,4,6, ,8, ,14,2,19,4,5, ,24,52,1,4,5, , 
"Colyer, Travis",FR,9,54,16,26,80,3,2, ,9,3,15,5,13, ,3, ,33,48, ,5,4,3,5
"Mumford, Shane",GW,10,14,11,66,80,1, ,206,35,4,10,32,36,14,28, ,59,26,3,2,42, ,1
"McKenna, Conor",ES,6,55,18,25,80,1, , ,10,10,17,3,23,2,2, ,18,55, ,1,12,11,4
"Naughton, Aaron",WB,11,44,38,35,79,14,6, ,9,1,7, ,12,4,6, ,48,34,16,17,13, ,5
"Hayden, Kyron",NM,8,38,22,41,79, , , ,12,11,6,5,17,3,7, ,34,51,1, ,8,1, 
"Francis, Aaron",ES,8,44,27,35,79, , , ,14,18,6,1,17,5,4, ,24,52,2, ,43,2, 
"Taylor, Lewis",SY,9,51,22,27,78,6,5, ,20,5,18,4,12,4,1, ,27,53, ,4,3,1, 
"Lloyd, Sam",WB,9,47,26,30,77,7,5, ,20,2,16,5,12,8,4, ,28,51,3,7,3, ,3
"McDonald, Tom",ME,9,50,29,27,77,7,1,16,15,2,8,1,13,8,6, ,31,48,6,7,19, ,2
"Eggmolesse-Smith, Derek",RI,6,53,15,24,77, , , ,13,15,9, ,17,3,8, ,17,53,1, ,4,1, 
"ORiordan, Colin",SY,8,39,20,37,76, , , ,13,9,3,3,12,3,5, ,26,49, , ,25, , 
"Stewart, James",ES,10,50,33,25,75,11,4,10,10,6,10,3,14,6,8, ,34,41,13,14,11, ,2
"Townsend, Jacob",ES,12,53,22,22,75,9,5, ,32,2,12,1,28,12,18, ,43,30,11,13,13, ,3
"Hanrahan, Oliver",HW,7,44,10,31,75,3,4, ,7,4,12,3,21,5,4, ,29,46, ,3,5,2,3
"Nankervis, Toby",RI,7,34,15,41,75,3,1,116,25,4,9,13,21,8,8, ,46,23,6,1,18, , 
"Gray, Sam",SY,7,38,15,37,75,1,2, ,15,4,7,4,10,4,1, ,30,45,1,2,4, , 
"Blakely, Connor",FR,5,26,12,49,75, , , ,12,5,5,11,14,5,3, ,35,42,2,1,6, , 
"Fogarty, Darcy",AD,10,41,19,33,74,8,1,2,22,2,13,3,21,11,10, ,49,23,7,5,13,1,3
"McHenry, Ned",AD,8,31,17,43,74, ,4, ,23,3,9,6,24,10,12, ,33,46, ,2,2, , 
"Stringer, Jake",ES,10,57,18,16,73,15,7, ,19,1,17,6,20,7,8, ,37,37,2,12,9, ,1
"Astbury, David",RI,5,49,26,24,73, , , ,8,9,5, ,14,3,4, ,29,41,7, ,21, ,1
"Hannan, Mitch",ME,9,41,21,31,72,7,3, ,15, ,23,2,14,8,6, ,40,34,6,2,9, ,4
"McKernan, Shaun",ES,9,48,31,24,72,5,6,41,11,4,11,8,34,4,18, ,42,34,8,12,13,2,6
"Vickers-Willis, Ed",NM,6,40,18,32,72, , , ,12,11,6,2,12,4,4, ,25,47,3, ,21, , 
"Hogan, Jesse",FR,7,41,37,30,71,5,4, ,4, ,11, ,13,3,2, ,30,45,7,8,6, ,2
"Ainsworth, Brayden",WC,8,40,25,31,71,2,1, ,12,4,4,3,13,2,7, ,28,48,1,3,12, , 
"Wood, Mason",NM,8,38,22,32,70,3,2, ,10, ,17,2,15,4,4, ,27,45,2,6,5, ,1
"Close, Brad",GE,8,29,13,41,70,2,2, ,24,1,6, ,6,8,1, ,28,41, ,3,4, ,6
"Bell, James",SY,8,37,13,32,69,3,2, ,28,1,9,7,16,7,8, ,38,31,1,2,5, , 
"Suckling, Matt",WB,7,47,26,22,69,3, , ,2,1,17, ,13,7,6, ,19,52,1,4,3, ,3
"McDonald, Oscar",ME,7,42,17,27,69, , ,1,8,11,7, ,15,1,5, ,24,44,2, ,37, , 
"Hibberd, Mitchell",ES,5,31,7,38,69, ,2, ,23,4,5,10,14,3,6, ,33,36, ,1,3, , 
"Hamill, Will",AD,8,33,15,35,68, , , ,14,13,3,1,17,8,7, ,23,49, , ,8, ,2
"Markov, Oleg",RI,6,47,16,21,68, ,1, ,6,10,10, ,8,6,2, ,27,42, , ,13,6,1
"Kennedy, Adam",GW,6,36,11,32,68, , , ,12,8,7,7,10,4,3, ,28,45, , ,7,2,3
"Draper, Sam",ES,8,46,15,20,66,1,3,148,15,8,16,15,21,10,15, ,37,28,5,2,18, ,1
"Spargo, Charlie",ME,8,38,19,27,65,8,1, ,12,1,11, ,15,3,7, ,26,42,1,5,5, ,3
"Fiorini, Brayden",GC,5,45,18,20,65,2, , ,9,14,7,2,5,2, , ,15,45, ,1,3, ,1
"Cameron, Darcy",CW,8,38,31,26,64,4,2,32,11,1,10,5,12,6,5, ,41,26,14,6,11, , 
"McAsey, Fischer",AD,10,35,21,29,64, ,2, ,12,8,11,1,13,4,2, ,27,38,5,2,26,1, 
"Neal-Bullen, Alex",ME,7,36,14,27,63,7, , ,16,2,10,3,13,1,5, ,26,37,1,3,7, ,3
"Ziebell, Jack",NM,8,38,25,25,63,1,7, ,16,2,12,4,14,3,6, ,33,34,5,9,5, ,2
"Ahern, Paul",NM,6,35,13,28,63,1,1, ,7,4,5,5,14,3,1, ,34,31,3,1,5,2,2
"Lienert, Jarrod",PA,5,46,10,17,63, , , ,6,16,11, ,6,3, , ,15,41, , ,18,1, 
"Larkey, Nick",NM,10,41,23,21,62,14,4, ,10, ,14, ,17,10,8, ,32,34,11,10,16, ,2
"Brown, Ben",NM,9,49,31,13,62,8,8,4,6,1,11, ,12,6,3, ,31,35,6,12,17, ,1
"Corbett, Josh",GC,7,45,31,17,62,3,6, ,7,1,13, ,13,8,7, ,30,36,8,7,3, ,3
"Gardner, Ryan",WB,9,32,21,30,62, , , ,13,6,3,1,17, ,10, ,18,42,1, ,66, , 
"Cox, Mason",CW,9,32,28,27,59,11,2,33,5,1,7, ,12,12,5, ,44,14,18,9,20,1,2
"Chol, Mabior",RI,10,38,14,21,59,8,3,57,17,5,10,9,9,3,7, ,38,26,4,8,18, ,4
"Georgiades, Mitch",PA,7,39,20,19,58,8,6, ,14,1,13, ,14,11,5, ,30,28,8,9,4, ,3
"Wicks, Sam",SY,7,31,15,27,58,3,1, ,32,5,8,2,15,5,8, ,28,32, ,2,9, ,2
"Jacobs, Sam",GW,7,34,15,23,57,2, ,172,19,7,10,20,10,4,3, ,43,18,5,1,23, ,1
"Brown, Mitch",ME,5,39,30,18,57,2,3,3,6,3,7,1,6, ,2, ,14,42,4,7,5, , 
"Narkle, Quinton",GE,5,27,9,30,57, ,1, ,18,4,12,9,12,4,4, ,27,32, ,1,4, ,2
"Sparrow, Tom",ME,5,26,9,30,56,2,1, ,13,4,5,9,8,3,5, ,29,31,2,1,4, ,1
"Crocker, Ben",AD,7,45,22,10,55,4,5, ,17,3,16,4,12,7,1, ,21,32,2,3,7, , 
"Smith, Roarke",WB,5,22,10,33,55,2,1, ,5,1,6,5,6,2,2, ,26,31, ,1,10, ,2
"Puopolo, Paul",HW,6,27,7,27,54,4,1, ,15, ,8,4,6,6,2, ,30,22,1,2,3, , 
"Bennell, Harley",ME,5,26,7,28,54,3,2, ,5,2,11,3,6,1,2, ,14,40, ,1,4,2,3
"De Koning, Tom",CA,7,26,10,28,54, ,2,87,16,4,12,14,18,3,9, ,38,17,6, ,11, ,1
"Cottrell, Matthew",CA,5,44,8,9,53,2, , ,4,9,14,5,11,3, , ,25,27,1,1,4, , 
"Howe, Daniel",HW,5,36,16,17,53,2, , ,5,4,8,3,4,3,1, ,14,37,1, ,14, ,3
"Cunnington, Ben",NM,3,18,6,35,53,2, ,1,12,3,3,12,8,3,2, ,33,20,2,2,2, ,2
"Greenwood, Levi",CW,4,28,7,25,53,1, , ,8,1,7,5,9,1,1, ,20,36, , ,6,2, 
"Bonar, Aiden",NM,6,24,10,29,53, , , ,11,3,5,3,8,4,3, ,21,32, , ,11, ,1
"Riccardi, Jake",GW,5,37,30,15,52,9,6,1,2,1,6, ,9,1,2, ,15,38,4,14,2, ,2
"Jackson, Luke",ME,6,19,9,33,52,3,2,29,8, ,6,6,8,7,3, ,28,26,5,2,7, ,4
"Woodcock, Boyd",PA,5,28,12,24,52,3,3, ,8, ,10,1,6,2,2, ,18,34,1,3,1,1,1
"Poholke, Myles",AD,5,29,15,23,52,2,1, ,12,2,8,7,11,1,5, ,23,31,1,3,4,2,2
"Sier, Brayden",CW,3,14,4,38,52,1,1, ,10, ,6,14,11,1,6, ,22,32, , ,1, ,1
"Greaves, Damon",HW,3,35,17,17,52, , , ,5,20,4,1,1,1, , ,10,36, , ,3, ,2
"Langdon, Zac",GW,7,24,8,27,51,2,6, ,23,1,6,3,16,7,7, ,33,22, ,3,7, , 
"Phillips, Ed",SK,4,28,16,22,50,3, , ,4,7,7,3,5,2,2, ,15,37, , ,4, ,1
"Graham, Caleb",GC,7,36,25,14,50, , , ,2,16,1, ,13,2,7, ,11,37,4, ,55, , 
"Young, Hayden",FR,5,33,16,17,50, , , ,7,11,6,1,7,2,1, ,13,37,3, ,5,1,1
"ONeill, Xavier",WC,5,25,9,24,49,1,1, ,9,2,8,1,8,1,1, ,15,37, ,1,5, ,2
"Fantasia, Orazio",ES,5,27,15,22,49,1, , ,6,6,5,1,5,2,2, ,11,36, ,3,7,3,3
"Logue, Griffin",FR,5,22,12,27,49, , , ,5,8,4, ,5,3,1, ,29,21,6, ,27,1, 
"Lemmens, Sean",GC,6,29,7,19,48,4, , ,9,1,13,2,12,2,2, ,20,28,2,1,3, ,3
"West, Rhylee",WB,4,23,12,25,48,1, , ,7, ,7,2,10,3,4, ,18,34,2,1,4, , 
"Jiath, Changkuoth",HW,5,27,13,21,48, , , ,8,9,3,1,12,1,5, ,19,32,1, ,13, , 
"Thomas, Tarryn",NM,6,24,8,23,47,3,2, ,19,1,8,1,6,1,2, ,20,27,1,1,6, ,2
"Banfield, Bailey",FR,5,26,8,21,47,2, , ,18, ,9,3,11,8,3, ,28,19, ,1,4, ,2
"Fort, Darcy",GE,5,31,9,16,47,1, ,107,9,2,8,19,17,3,13, ,27,14,4,1,23, ,2
"Murphy, Tom",NM,5,28,16,19,47,1,2, ,8,6,10,1,9,1, , ,15,32,1,2,2,1, 
"Laverde, Jayden",ES,6,30,20,16,46,6,3, ,15,1,8,2,11,3,6, ,15,32,4,8,5, ,5
"Lewis, Mitch",HW,8,28,15,18,46,5,5,15,5, ,7,1,9,3,5, ,23,28,3,6,8, ,2
"Impey, Jarman",HW,5,22,13,24,46,2,3, ,9,1,2,2,10,1,5, ,14,34,1,3,2, ,2
"Gibbs, Bryce",AD,3,25,9,21,46, ,1, ,3,11, ,1,8,1,4, ,11,27, ,1,2,1, 
"Hill, Bobby",GW,5,28,10,15,43,4,5, ,11, ,7,3,9,3,4, ,23,19,2,2,2, , 
"Glass, Conor",HW,4,26,13,16,42,1, , ,10,3,7,3,11, ,1, ,9,35, ,1,11,1, 
"Baker, Oskar",ME,3,30,8,11,41,2, , ,5,6,6,1,6,3,3, ,10,27, , ,2, , 
"Bellchambers, Tom",ES,7,30,10,11,41,1, ,139,10,4,9,12,14,9,7, ,27,17,4,1,25, ,1
"Berry, Tom",BL,6,16,10,25,41, ,2, ,12,1,5, ,7,2,4, ,24,17,3,3,5, ,3
"Jong, Lin",WB,3,12,10,29,41, ,1,1,9, ,4,2,7,2,5, ,15,24,4,2,3, ,1
"Frampton, Billy",AD,5,22,17,18,40,5,1,20,5,1,3,2,11,2,8, ,16,25,3,5,8, ,2
"Marsh, Jonathon",SK,5,20,10,20,40,2,3, ,13,1,7,2,6,3,2, ,15,26,1,5,12, ,2
"Moore, Dylan",HW,3,18,14,22,40,2,1, ,5,1,6, ,3,2, , ,13,27,1,2,3,1,1
"Martin, Stefan",BL,6,24,7,16,40,1,1,105,13,3,8,15,11,5,8, ,27,11,3,2,4, ,2
"Heppell, Dyson",ES,3,15,4,25,40,1,1, ,3,2,5,10,2,4,2, ,18,23, ,1,2, , 
"Scharenberg, Matt",CW,3,25,12,15,40, , , ,8,3, , ,2,1,1, ,10,27, , ,14, , 
"Hosie, Lachlan",NM,5,24,12,15,39,3,1, ,4,2,3,1,7,4,2, ,15,24,3,1,3, ,1
"Petruccelle, Jack",WC,5,22,9,17,39,2,5, ,7, ,8,5,9,2, , ,24,17,2,3,3, , 
"Minchington, Darren",HW,4,24,6,15,39,2,2, ,5,2,6,2,6,1,1, ,20,21,1,1,1,4,2
"Bytel, Jack",SK,3,9,3,30,39, , , ,8,1,3,9,5,3,4, ,16,25, , ,1, ,1
"McLean, Hayden",SY,6,24,13,14,38,5,1,14,15,2,5,2,9,1,5, ,19,22,4,7,11, ,3
"Daniher, Joe",ES,4,31,25,7,38,3,6,2,1, ,12, ,12,4,8, ,16,23,9,9,5,2,2
"Coleman, Keidean",BL,4,24,9,14,38,2,1, ,21,2,5,3,13,2,7, ,18,19,1,1,2,1,2
"Clark, Jordan",GE,3,24,12,14,38,1,1, ,9, ,4, ,9,1,4, ,7,32, ,1,3, , 
"Smith, Joel",ME,7,23,9,15,38, , , ,10,11,2, ,13,3,6, ,18,22,1, ,33, , 
"Atkins, Rory",AD,4,20,4,17,37,2, , ,8,3,6,1,5,1,3, ,16,24,1,3,3, ,1
"Jetta, Neville",ME,6,14,6,23,37, , , ,8,3,4,1,11,5,6, ,24,14,2, ,10, , 
"Hunt, Jayden",ME,6,27,10,8,35,10,2, ,7,1,5,1,6,4,2, ,13,22,1,3,8, ,1
"Daw, Majak",NM,4,17,9,18,35,3,1,23,8, ,6,3,9,3,3, ,16,20,2,2,9, ,1
"Phillips, Andrew",ES,5,17,8,18,35, ,1,107,13,2,5,20,13,5,10, ,34,11,4,1,24, ,1
"Cumming, Isaac",GW,3,21,11,14,35, , , ,5,8,2, ,3, ,1, ,9,19,4, ,3, ,1
"Constable, Charlie",GE,2,13,4,22,35, ,1, ,8,2,3,5,8,2,2, ,18,18, , ,1, , 
"Mosquito, Irving",ES,4,15,9,17,32,2,4, ,7,1,3,2,3,1,2, ,12,21,1,2,1,1,2
"Guthrie, Zach",GE,3,22,7,10,32,2, , ,2,4,1,1,7,2,3, ,7,25, ,1,2, , 
"Sutcliffe, Cam",PA,4,18,3,14,32,1,2, ,6, ,1,1,3,1, , ,9,19, ,1,5, ,2
"Taylor, Sam",GW,4,10,11,22,32, ,1, ,10,8, ,1,7,5,4, ,20,12,4, ,24, , 
"Matera, Brandon",FR,5,25,8,6,31,3,3, ,12, ,11,2,3,4,3, ,11,16, ,3,3, ,1
"Flanders, Sam",GC,5,17,4,14,31,2,1, ,14,1,9,1,10,2,2, ,15,15,1,1,4, ,1
"Taylor, Elijah",SY,4,17,4,14,31,1,1, ,2,3,8,1,10,5,2, ,22,11,2, ,7,1,1
"Duryea, Taylor",WB,2,23,8,8,31, , , ,9,4,4,2,3,2, , ,10,19,1, ,5, , 
"Payne, Jack",BL,4,20,15,10,30, , , ,2,8,1, ,9, ,4, ,16,16,3, ,24,1, 
"Watson, Tobe",FR,3,21,12,9,30, , , ,7,6,3,1,3,1, , ,9,23, , ,12, , 
"Butler, Louis",WB,2,24,6,6,30, ,1, ,1,5,3, ,4, ,2, ,9,19,1, ,2, , 
"Milera, Wayne",AD,2,17,7,13,30, , , ,2,8,1, ,3, ,1, ,7,20,1, ,4,1,1
"Patton, Jonathon",HW,6,18,11,11,29,3,2,5,4,1,4,1,8,4,6, ,16,15,2,3,8, ,2
"Ronke, Ben",SY,3,19,6,10,29, , , ,11,3,7,2,11,2,3, ,14,14, , ,1, ,4
"Perez, Flynn",NM,3,15,7,13,28, , , ,8,4,2,1,5,1,2, ,10,20,2, ,5, , 
"Hartley, Michael",HW,2,20,3,8,28, , , ,5,15, , ,3,1,2, ,6,8,1, ,8, , 
"Dow, Paddy",CA,3,12,6,15,27,1,2, ,3,1,3,4,3,2,1, ,13,15, ,2, ,1,1
"Smith, Archie",BL,5,9,2,18,27, , ,56,5,1,3,9,10,3,5, ,17,10, , ,9, ,1
"Ling, Matt",SY,3,20,5,6,26, , , ,2,7,3,3,9,1,3, ,7,18, , ,6, , 
"Walker, Will",NM,2,12,4,14,26, , , ,7,4,2,3,4, ,3, ,9,17, , ,1, ,1
"Stoddart, Ryley",SY,2,16,4,10,26, , , ,3,2,5, ,8,3, , ,8,15, , , , , 
"Cavarra, Ben",WB,3,15,5,10,25,4,3, ,8,1,3,2,4,1,2, ,9,15,1,1,1, , 
"Wagner, Josh",ME,2,14,5,11,25, , , ,3,3, ,2,3,1,1, ,14,12,1, ,3, , 
"Cameron, Jarrod",WC,5,16,5,8,24,2,1, ,11, ,6, ,14,2,9, ,11,15, ,1,3,1,1
"Polson, Cameron",CA,3,16,3,8,24, ,1, ,3,5,5,1,7,2,2, ,9,14,1, ,3, , 
"Hutchings, Mark",WC,3,15,5,9,24, , , ,4,2,5,4,3, , , ,8,17, , ,2, , 
"Ruscoe, Trey",CW,4,17,5,6,23,5,4, ,3, ,2, ,6,1,1, ,9,13,1,1,2, , 
"Sturt, Sam",FR,3,12,7,11,23,4, , ,3,2,3, , ,2, , ,10,13,1,3,1, ,1
"Morris, Josh",HW,4,14,5,9,23,1,2, ,6, ,6,2,4,1,2, ,12,10, ,2,2,1, 
"Preuss, Braydon",ME,3,16,6,7,23, , ,64,1,2,6,2,8,5,1, ,15,8,3, ,3, , 
"Henry, Liam",FR,3,16,8,6,22,1,3, ,4, ,2, ,4,1, , ,10,12, ,2,2, ,1
"Schofield, Will",WC,4,12,3,10,22, , , ,8,2,2, ,5,2,5, ,9,11, , ,16, , 
"Williams, Bailey",WC,3,10,5,11,21,1,1,24,5,1,3,2,7,2,4, ,9,12,2, ,3, , 
"Reid, Nic",WC,3,8,1,13,21,1,1, ,8,1,7, ,5,1,2, ,10,10, , , ,1,1
"Garner, Taylor",NM,2,8,5,13,21,1, , ,5, ,3, ,7,1,3, ,11,11, ,1,1, , 
"Bosenavulagi, Atu",CW,3,9,6,12,21, , , ,5, ,3,1,8,2,3, ,10,13, , ,3,2,1
"Gowers, Billy",WB,3,12,3,9,21, ,2, ,3, ,4,2,9,1,4, ,7,13, , ,4, , 
"Jones, Jamaine",WC,2,13,5,8,21, ,1, ,8,2,5, ,6,4,2, ,9,12, , , , , 
"Dunstan, Luke",SK,1,13,3,8,21, , , ,9, ,6,2,1, , , ,5,14, ,1,1, ,1
"Durdin, Sam",NM,3,11,8,9,20, ,1, ,2,3,3, ,3,2,2, ,7,12,1, ,4, , 
"Hayes, Will",WB,2,7,2,13,20, , , ,6,2,4, ,4, ,1, ,8,12, , ,2, ,1
"Xerri, Tristan",NM,4,13,5,6,19,4, ,9,8,1,5,3,10,4,7, ,12,7,2,2,13, , 
"Buckley, Jack",GW,2,11,7,8,19, , , ,5,2,2,1,2,2, , ,8,11,2, ,6, ,1
"OHalloran, Xavier",GW,2,9,2,10,19, , , ,6,1,7,1,4,3, , ,12,6, ,1,3, , 
"Sharp, Jeremy",GC,2,10,4,9,19, , , , ,2,3, , ,1, , ,3,15, , ,1,1, 
"Naismith, Sam",SY,2,15,5,4,19, , ,53,9,4,6,6,3,3,2, ,9,8,1, ,5, , 
"Weightman, Cody",WB,3,11,4,7,18,3,1, ,4,1,2, ,8,3,2, ,10,8,2,2,1, , 
"Dunn, Lynden",CW,2,12,5,6,18,1, , ,3,2,3, ,2,1,1, ,4,11, , ,11, , 
"Young, Lachie",WB,2,11,2,7,18,1, , ,4,2,2,1,2,1, , ,9,8, , ,1, , 
"Brand, Kaiden",SY,2,10,7,8,18, , , ,3,3,1, ,2,2, , ,8,11,3, ,9, , 
"Cahill, Ned",ES,3,8,4,9,17,2,2, ,3,1,2,1,6,1,2, ,9,9, ,3,1, ,1
"Skinner, Sam",BL,2,12,13,5,17,1,2,1,2,1,3, ,3, ,1, ,2,15, ,3,2, , 
"Reid, Sam",GW,3,7,4,10,17, , , ,6, ,2, ,4,1,2, ,4,15, , ,5, ,1
"Idun, Connor",GW,2,9,5,8,17, , , ,1,4,1, ,4,2,1, ,7,9, , ,10, , 
"Silvagni, Jack",CA,3,12,5,4,16,2,2, ,2, ,2, ,2,2, , ,10,8,2,2,2, , 
"Hickey, Tom",WC,3,6,5,10,16, , ,42,3,1,3,6,3, ,2, ,14,8, , ,7, , 
"Dow, Thomson",RI,2,2,2,14,16, , , ,4,1,1,3,4, ,1, ,7,9, , , , , 
"Bedford, Toby",ME,2,6,3,10,16, ,1, ,4, ,2, ,7, ,3, ,5,11, , ,1, ,1
"Nash, Conor",HW,2,11,5,5,16, ,1, , , ,4, ,2, ,1, ,6,11, , ,1, ,1
"Newman, Nic",CA,2,13,4,2,15, , , ,2,4, , ,5,1,2, ,1,11, , , , , 
"Foot, Zac",SY,2,7,6,7,14,1, , ,4,2,1, ,5,1,2, ,6,8,1,2,2, ,2
"Philp, Sam",CA,2,8,1,6,14,1,1, ,3, ,3, ,3,1,1, ,9,8, , ,4, , 
"Butts, Jordon",AD,2,8,5,6,14, , , ,2,5,1, ,1,1,1, ,4,9, , ,7, , 
"Warner, Chad",SY,2,9,3,5,14, , , ,3,1,5, ,4,2,2, ,8,6, , ,1, , 
"Brodie, Will",GC,1,4,3,10,14, , , ,1, , ,3,3, , , ,4,10, , ,1, , 
"Joyce, Jesse",GC,1,9,3,5,14, , , ,1,4,3, ,1, , , ,5,8, , , , , 
"Mathieson, Rhys",BL,1,8,5,6,14, , , ,2, ,4,1,1,2, , ,10,7,1, ,1, ,1
"Jenkins, Josh",GE,1,8,3,6,14, , ,7,4,1,4,2, ,1, , ,8,7,1, , , , 
"Savage, Shane",SK,1,13,4,1,14, ,2, ,3,5,4,2,2, , , ,4,9,1, ,5, ,1
"Schache, Josh",WB,2,8,3,5,13,2, , , , ,1, ,2,1,1, ,5,7, ,2,1, ,1
"Parker, Matthew",SK,2,8,1,5,13, ,2, ,5, ,3, ,4,2,2, ,7,6, , ,2, ,2
"Hinge, Mitch",BL,1,10,2,3,13, , , ,3,1,4,2, , , , ,7,6, , ,1, ,1
"Reid, Ben",CW,2,7,3,4,11,3, ,1,1, ,2, ,3,3,1, ,6,5, ,1,2, , 
"Jones, Harry",HW,1,3,1,8,11, , , ,4,1,1,3,3,1,3, ,3,8, , , , , 
"Mutch, Kobe",ES,1,5,4,6,11, , , , , ,1, ,1, ,1, ,1,10, ,1, , , 
"McCarthy, Cam",FR,1,8,3,3,11, ,1, ,1,2,1, ,2,1, , ,4,8, , ,1, , 
"Maginness, Finn",HW,1,2, ,8,10, , , ,5, ,1,2,1, ,1, ,7,4, , ,1, , 
"Fullarton, Tom",BL,2,5,1,4,9,1,3, ,2, , ,2,2,1, , ,6,3,1,1,1, ,1
"Ballenden, Connor",BL,2,5,5,4,9,1,1,5,1, ,2,1,2,1,1, ,5,5,1,3, , ,1
"Appleby, Flynn",CW,1,4,1,5,9,1,2, ,2, ,1, ,2,2,1, ,5,5,1,1,2, , 
"Porter, Callum",WB,1,4, ,5,9, , , ,4, ,1,1,6,1,3, ,7,3, , ,1, , 
"Naish, Patrick",RI,1,3, ,6,9, , , ,3, ,2,1,2,1, , ,5,4, , , , , 
"Roberton, Dylan",SK,1,7,1,1,8, , , , ,4, , ,2, ,2, , ,4, , ,6, , 
"Trengove, Jackson",WB,1,2,1,6,8, , ,3,4,1, ,1,1,2,1, ,2,6, , ,3, , 
"OBrien, Lochie",CA,1,5,2,2,7,1, , ,2,1, ,1,1, ,1, ,2,5, ,1, , , 
"Hutchesson, Tom",GW,1,4,2,3,7, ,1, ,1,1,2, ,1,1, , ,2,5, , ,1, , 
"Keane, Mark",CW,1,5,1,2,7, , , ,2,1,1, ,2, ,1, ,1,6, , ,6, , 
"Robertson, Deven",BL,1,3, ,4,7, , , ,3, , , ,1, ,1, ,4,3, , ,2, , 
"Broomhead, Tim",CW,1,2, ,5,7, , , ,2, ,1, ,2,1,1, ,3,4, , , , , 
"Farrar, Jy",GC,1,3,2,3,6,1, , ,1, , , , , , , ,2,5, , ,1, , 
"Moore, Callum",CA,2,2,2,4,6, , ,3,4, ,1,1,4, ,3, ,5,2,1, ,5, , 
"Sheridan, Tom",GW,1,4,3,2,6, , , ,1,1, , ,2, ,1, , ,6, , , , , 
"Kelly, Will",CW,1,4,2,1,5,1,1, , , ,1, ,1, ,1, ,3,3,1, ,1, , 
"Davis, Ben",AD,1,4,2,1,5,1, , ,2, ,2, , ,3, , ,4,2,1, ,1,2, 
"Begley, Josh",ES,1,3,2,2,5,1, , ,4, ,1, ,3,1,1, ,3,2, ,1,1, , 
"Brayshaw, Hamish",WC,1,3,1,2,5, ,1, ,1, ,1, , ,1, , ,1,3, ,1, , , 
"Jarvis, Ben",GE,1,3,3,2,5, ,1, ,1, , , , , , , ,2,4,1,1,1, , 
"Owies, Matthew",CA,1,3,1,2,5, , , ,1, , , ,3, ,2, ,4,2, , ,1, , 
"Byrnes, Ryan",SK,1,2, ,3,5, , , ,2, , , ,2,1, , ,3,2, , ,1, , 
"Adams, Marcus",BL,1,2,1,3,5, , , , ,2, ,1,1, ,1, ,4,1,1, , , , 
"Brooksby, Keegan",HW,1,4, ,1,5, , ,10,2, , ,2,2,3,2, ,5, , , ,2, ,1
"Campbell, Tom",NM,1,3,1,2,5, , ,2, , ,3,1, , , , ,1,3, , ,5, , 
"Lang, Darcy",CA,1,2, ,2,4,1,1, ,2, , , , , , , ,3,2, , ,1, ,1
"Honey, Josh",CA,1,3,2,1,4, ,1, ,1, , , ,1, , , ,1,3, ,1, , , 
"Strachan, Kieran",AD,1,1, ,3,4, , ,10,4, , , ,2,2,2, ,4,1, , ,2, , 
"Young, Lewis",WB,1,3,3,1,4, ,1,1, ,1, , ,4, ,3, , ,4, ,1, , , 
"Dickson, Tory",WB,1, , ,4,4, , , ,1, , ,1, ,1, , ,1,3, , ,1, , 
"Abbott, Ryan",SK,1,2,2,1,3,1, ,2, , ,1, , , , , , ,3, ,1, , , 
"Foley, Luke",WC,1,3,2, ,3, , , ,1, ,1, , , , , ,1,3, , ,4, , 
"Amartey, Joel",SY,1,3, , ,3, , ,8,2, ,2, ,3,1,2, ,2,1, , ,3, , 
"Edwards, Harry",WC,1,2, ,1,3, , , , ,2, , ,1, , , ,2,1, , , , , 
"Knight, Riley",AD,1,2,1,1,3, , , ,5, ,1, ,2, ,2, ,1,2, , , ,1, 
"Eagles, Matt",BL,2,2, , ,2, , ,15,4,1, ,1,2, ,1, ,3, , , ,2, , 
"Lynch, Max",CW,1,1, ,1,2, , ,2,5, ,1, ,2, ,1, , ,2, , , , , 
"Kreuzer, Matthew",CA,1, ,1,1,1, , ,7,1, , , , , , , , ,1, , ,2, , 
